topic_link,date,user_id,user_rank,heading,reply_flag,topic_mark,body,views,found_helpful,image_flag,cateogry,normal_date
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:24:59 PM",candd205,not appliable,"Earning badges. What ""earned by"" number means",1,,"It has nothing to do with the badges. The boards that are in the category ""Member-To-Member"" are different than the rest of the boards. Only certain people are designated to respond to those boards. I can't, most people can't.",101 Views,1,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:26:22 PM",candd205,not appliable,"Earning badges. What ""earned by"" number means",1,,"The people who are designated to answer the member-to-member boards are experienced ebayers, with a successful track record for assisting on the boards, and they apply to be in that category.",99 Views,1,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Sporting-Goods/steal-my-money/td-p/30939281/jump-to/first-unread-message,"May 13, 2020 6:56:42 PM",wisconsingearhead,Enthusiast,steal my money,0,,So i order an ebike this morning get email to buy a different one yet 1000 dollers hasent been returned  Cant Get Ahold Of A Person Just Robots And Hang Up On U Really U Flakes I Want My Money Back By Morning Or Its Gonna Get Ugly,60 Views,0,0,Sporting-Goods,2020-05-13
https://community.ebay.com/t5/Buying/Buying-From-Sellers-with-90-Ship-Time-DON-T-Do-It/td-p/30945159/jump-to/first-unread-message,"May 15, 2020 11:39:37 PM",mudshark61369,not appliable,Buying From Sellers with 90 Ship Time-DON'T Do It!!,1,,"@moldy5, Chinese sellers have been using the over 60 day, last estimated delivery date scam for years.  There has not been a reason for an item to take more than 40 days to be delivered for years, so you should avoid sellers who can't deliver in that amount of time.   They do that knowing that people do not fully understand how ebay's Money Back Guarantee works and its time frames, and that they can avoid receiving negative feedback when an item doesn't arrive by the last date since there is a 60 day from the date of purchase window for leaving feedback.  Yes things fall off purchase histories after 60 days but the History's time frame can be expanded to view purchases going back 3 years.  The purchase can also be found on PayPal's site where you can use calendars to set purchase time frames. Once you find the transaction, you can click on it to view the details including the seller's username, and the ebay item number so you can file a dispute and get a refund.  You have 30 days from the last estimated delivery date to file a dispute.  Unfortunately, ebay will bump you over to PayPal to actually get your money back when there is over a 60 day delivery time frame.  By filing an INR dispute the seller gets a defect on their account, when they cannot prove delivery. Sellers are only allowed a small percentage of defects before they get sanctioned or kicked off the site. They also have to refund and loose the fees paid to eBay and PayPal. 

	THERE IS NO SUCH THING AS FOOLPROOF, BECAUSE FOOLS ARE SO DARNED INGENIOUS! (unknown)",1 View,0,0,Buying,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:28:28 PM",paradiso*bella*a*venire,not appliable,"Earning badges. What ""earned by"" number means",1,,"@candd205  Are you able to answer on the feedback board? Oh, and NICE sellers stats  😉

	Judge not others by your own limitations",93 Views,0,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:30:21 PM",candd205,not appliable,"Earning badges. What ""earned by"" number means",1,,"I don't know, I guess I never tried, either that or I never had a problem with it. Not sure. Is that a special board too?",90 Views,0,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:30:28 AM",b86fiero,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"Use a different shipping provider - UPS, FedEx, courier, etc Raise your prices to reflect the actual shipping cost. 🤔",463 Views,5,0,Selling,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:31:48 PM",paradiso*bella*a*venire,not appliable,"Earning badges. What ""earned by"" number means",1,,"It must be  LoL  because I cant reply to it

	Judge not others by your own limitations",87 Views,0,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:32:05 AM",dhbookds,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"The chances of that happening immediately or happening at all are so minuscule that we'd be wasting our time even discussing it, in my opinion.  Congress would have to agree and knowing how much, right now particularly, people depend on the PO.....it just won't happen..........",462 Views,13,0,Selling,2020-05-15
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:36:53 AM",luckythewinner,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"@hotplatters wrote:The maniac in the White House wants to force them to charge up to four times their current fees, become privatized, or shut down completely..The man in the White House says a number of crazy things every single day. 99.99% of them are just noise.",452 Views,12,0,Selling,2020-05-15
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:40:35 AM",toysaver,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,One strategy would be to advertise and sell on sites that are more local with pick ups/meetings.,445 Views,1,0,Selling,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 7:59:02 PM",paradiso*bella*a*venire,not appliable,"Earning badges. What ""earned by"" number means",1,,"@candd205  I know, right!  I thought that board had been looooooooong gone from back in like, 2008  

	Judge not others by your own limitations",77 Views,0,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 9:41:18 AM",fashunu4eeuh,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"Hi, i agree with the @dhbookds, this is not likely to happen, so i am not worried or concerned. Because of this, my business plan doesnt need adjusting. I think this is “just talk” from the President. He likes to churn the pot, but it is doubtful that this is a serious attempt at  reorganizing the postal service. Just my point of view, but thanks for asking the question.",444 Views,3,0,Selling,2020-05-15
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 8:34:39 PM",kensgiftshop,not appliable,"Earning badges. What ""earned by"" number means",1,,"@paradiso*bella*a*venire wrote:It seems you have to be invited to certain boards The M2M board as well as the feedback board and some others there isnt a way to answer but you can post a question there Other then the M2M board, some boards you have to go to that board and subscribe to reply to messages.",68 Views,2,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 10:16:55 AM",dirk12955,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"I'm not worried about the USPS going the way of the Buggy Whip.      If any of the worse case scenarios were to happen we'd all be affected the same way. It' s not like every other seller would have some sort of advantage.    If it happens at all,   It happens to everybody.  Buyers,  sellers,  Bidders,  Sport bidders,   Tire kickers,    Nobody would be immune.",418 Views,3,0,Selling,2020-05-15
https://community.ebay.com/t5/Payments/Ebay-says-buyer-hasn-t-paid-but-buyer-says-otherwise/td-p/30942973/jump-to/first-unread-message,"May 15, 2020 6:29:18 AM",ktirwin265,Enthusiast,Ebay says buyer hasn't paid but buyer says otherwise,0,,"Hi, this is my first ebay sale and I'm very confused.  When I click My Ebay > Selling, I see my sold product but next to it it says ""Buyer hasn't paid yet"".   The buyer paid using Paypal and I don't see any activity in my Paypal account.  If they haven't paid yet then how come I have access to their address?  I contacted the buyer and they said on their end it had already cleared the bank.  The buyer has 33 positive reviews as a buyer so they don't seem like a scam.",77 Views,0,1,Payments,2020-05-15
https://community.ebay.com/t5/Motors/Is-this-a-scam-I-haven-t-given-my-personal-info-to-her-yet/td-p/30928011/jump-to/first-unread-message,"May 13, 2020 8:55:14 AM",tezzamilz,not appliable,Is this a scam? I haven't given my personal info to her yet.,1,This thread is solved,I got almost the same email from a car I was inquiring about on offer up. It's a scam,101 Views,2,8,Motors,2020-05-13
https://community.ebay.com/t5/Motors/Is-this-a-scam-I-haven-t-given-my-personal-info-to-her-yet/td-p/30928011/jump-to/first-unread-message,"May 13, 2020 11:55:50 AM",ripsmc,not appliable,Is this a scam? I haven't given my personal info to her yet.,1,This thread is solved,"I'm not trying to be a downer here, but with only 1300 dollars finding a clean, half decent ride is going to be near impossible. It can be done with enough patience, footwork, and being in the right place at the right time but that time could be way down the road. I agree with using Craigslist. I've purchased several cars off of CL which were very reasonably priced and have turned out to be good vehicles but I've also been a mechanic for many decades.  I know what I'm looking at so fast talk and **bleep** does not go very far with me.",91 Views,0,0,Motors,2020-05-13
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 13, 2020 9:01:16 PM",paradiso*bella*a*venire,not appliable,"Earning badges. What ""earned by"" number means",1,,"@candd205 wrote:There is a Jewelry Board that I couldn't reply to (couldn't ask a question in either). I found where the board was listed, and I had to request access to communicate on that board. I got access. So maybe that works with the feedback board too?To tell you the truth, Ive not poked around enough to know much about any particular board, but have went to answer or comment on a post from some boards when a post  would show up on recent posts on the main page of community but when I did try to answer that feedback post that showed up earlier, I was met with a faded out reply button and some posts Ive went into there was no button at all....Guess I need to poke around and see what I can find 😋  

	Judge not others by your own limitations",60 Views,1,0,Getting-Started,2020-05-13
https://community.ebay.com/t5/Getting-Started/Earning-badges-What-quot-earned-by-quot-number-means/td-p/30939243/jump-to/first-unread-message,"May 15, 2020 3:50:57 PM",mudshark61369,not appliable,"Earning badges. What ""earned by"" number means",1,,"@paradiso*bella*a*venire wrote:@candd205  I know, right!  I thought that board had been looooooooong gone from back in like, 2008   @paradiso*bella*a*venire, The feedback ""feedie"" and Bidding (biddy) boards disappeared in 2011-12.  They became Groups, but  the biddy board withered on the vine and was removed.

	THERE IS NO SUCH THING AS FOOLPROOF, BECAUSE FOOLS ARE SO DARNED INGENIOUS! (unknown)",20 Views,1,0,Getting-Started,2020-05-15
https://community.ebay.com/t5/Motors/Is-this-a-scam-I-haven-t-given-my-personal-info-to-her-yet/td-p/30928011/jump-to/first-unread-message,"May 13, 2020 1:49:31 PM",jaylimosele0,not appliable,Is this a scam? I haven't given my personal info to her yet.,1,This thread is solved,"Yeah, I'm just gonna finance a used 2008 Honda Civic ex-L coupe.  The dealership is selling it for $3,992 and agreed to a $1,000 down payment. So, I'm set maybe. Tell you one thing though, I'm never looking for cars again on Facebook, craigslist, or offerup. Too many scams going on out here for my liking smh.",77 Views,1,0,Motors,2020-05-13
https://community.ebay.com/t5/Motors/Is-this-a-scam-I-haven-t-given-my-personal-info-to-her-yet/td-p/30928011/jump-to/first-unread-message,"May 13, 2020 9:28:30 PM",duncanscars,not appliable,Is this a scam? I haven't given my personal info to her yet.,1,This thread is solved,You know we expect pictures of your new ride.  😁,64 Views,0,0,Motors,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 10:38:46 AM",kensgiftshop,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"@hotplatters wrote: the end of ""media mail""..  As much as it is abused, they should do away with it anyway.",391 Views,5,0,Selling,2020-05-15
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:00:41 PM",tyler@ebay,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,"Hi everyone - the chat is now open for your replies!

	Tyler, Community Team",520 Views,0,0,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 10:59:43 AM",uncseniorsportsfan,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,Ain't gonna happen if Trump wants to have any hope of being re-elected.  And if he is not re-elected - it won't happen at all.,363 Views,0,0,Selling,2020-05-15
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:03:56 PM",vrykalak,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,"Someone made an offer on an item. I wanted to add another photo to show a flaw I discovered. eBay would not allow me to add a photo. I apparently could remove photos, but not add any. What's the logic behind that?",490 Views,3,0,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 11:30:26 AM",southern*sweet*tea,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"@kensgiftshop wrote:@hotplatters wrote: the end of ""media mail""..  As much as it is abused, they should do away with it anyway.  I someone who sells books (used to sell a lot of books, now more into paper) I almost want to agree with you...BUT...there is a substantial cost savings for heavier books.  Regular, non-collectible books are a tough sell anyway and higher postage costs would kill the market for small sellers. But you're right - the abuse is rampant, and in all honesty I do see the PO either doing away with MM or going to some sort of permit type use.

	You know what they say about advice: The wise don't need it, and fools don't heed it.",351 Views,1,0,Selling,2020-05-15
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:04:35 PM",terrisattictreasures,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,"1- I continue having issues with creating size variations for clothing. On multiple occasions, there is no size option available. Sometimes, I have to click ""size type"", meaning regular versus Big & Tall first, then the sizes will appear. Sometimes there is simply no size variation available anywhere. When I try to ""add your own"" and Size is shown as an example, I receive the error message ""this is not an acceptable variation"". Why is size variation not the first, most obvious, most accessible option?2- I recently received notice that I am required to sign up for managed payments. I don't have a problem with that. However, when I started the process, you are requiring very sensitive information, including my SSN. I am extremely reluctant to release this over the internet and I don't understand why it is required, given the fact that I have already provided eBay with my personal information in years past when I set up my account. What measures has eBay taken to protect my sensitive data?",481 Views,5,1,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 1:43:49 PM",doubledz-a2z,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"@fashunu4eeuh wrote:Hi, i agree with the @dhbookds, this is not likely to happen, so i am not worried or concerned. No one ever expected the world to go into total lockdown either.   If prices go up they go up.  Look at eggs, meat etc.   If they do you raise your prices or you pay the increase.   Or you quit selling.",291 Views,1,0,Selling,2020-05-15
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:08:48 PM",mam98031,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,Just a little FYI. If there are any members out there that can't see the Reply Button.  I had to close by browser and come back it to see it.  Not sure why as other threads were working.  I use Chrome if that is a factor to consider.,454 Views,2,0,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Fashion/An-ID-on-a-2008-Louis-Vuitton-purse/td-p/30944820/jump-to/first-unread-message,"May 15, 2020 9:56:11 PM",jsales0,not appliable,An ID on a 2008? Louis Vuitton purse,1,,Limited Edition Monogram Mirage Griet. Gorgeous bag! 2007,22 Views,0,0,Fashion,2020-05-15
https://community.ebay.com/t5/Mobile-App-Android/what-happened-with-Notifications/td-p/30935989/jump-to/first-unread-message,"May 15, 2020 10:21:36 PM",wvtooregon1960,not appliable,what happened with Notifications,1,,I guess ebay doesn't care about sellers not receiving notifications anymore.,3 Views,0,0,Mobile-App-Android,2020-05-15
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 2:22:32 PM",inhawaii,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,"What do we do if the USPS closes or drastically increase shipping fees ??? If they close, i would no longer use them. If they drastically increase fees, i would consider using another carrier.",268 Views,1,0,Selling,2020-05-15
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:10:24 PM",stylishbeauty,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,Many eBay sellers are currently dealing with USPS lost packages.  Mercari offers $200 shipping protection when using their prepaid labels for lost or damaged items.  Why doesn't eBay offer the same seller protection?,442 Views,5,0,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Weekly-Chat-with-eBay-Staff/Community-Chat-May-13-1-00-pm-PT-General-Topics/td-p/30935237/jump-to/first-unread-message,"May 13, 2020 1:12:24 PM",sflovesall,not appliable,"Community Chat, May 13 @ 1:00 pm PT - General Topics",1,This thread is read-only,how to permanently delete messages from deleted message file,428 Views,0,0,Weekly-Chat-with-eBay-Staff,2020-05-13
https://community.ebay.com/t5/Selling/What-do-we-do-if-the-USPS-closes-or-drastically-increase/td-p/30943463/jump-to/first-unread-message,"May 15, 2020 4:34:43 PM",coolections,not appliable,What do we do if the USPS closes or drastically increase shipping fees ???,1,,First off refrain from calling the president of the Untied States a maniac unless maybe you do not live in America. With that said the post office will not close so stop worrying abut that. If the prices go up you have no choice but to raise your shipping cost or lower your expectations on your profit per item.,207 Views,5,0,Selling,2020-05-15
